DATE,TEMP,DEWP,WDSP
2020-01-01,26.1,22.4,19.0
2020-01-02,27.2,24.3,15.2
2020-01-03,25.1,20.9,8.2
2020-01-04,37.1,22.1,15.1
2020-01-05,29.0,25.8,9.2
2020-01-06,36.7,27.8,10.1
2020-01-07,36.9,24.6,19.7
2020-01-08,32.4,30.0,17.6
2020-01-09,28.2,27.3,14.7
2020-01-10,39.3,24.1,9.3
2020-01-11,36.1,23.3,14.1
2020-01-12,37.3,21.6,11.1
2020-01-13,33.8,22.4,14.6
2020-01-14,26.2,28.9,10.1
2020-01-15,37.4,22.7,13.8
2020-01-16,31.9,20.1,19.4
2020-01-17,30.0,28.1,12.9
2020-01-18,30.3,23.4,19.3
2020-01-19,28.2,28.2,9.4
2020-01-20,36.5,25.6,7.0
2020-01-21,30.4,29.0,9.7
2020-01-22,38.0,27.5,16.8
2020-01-23,27.8,20.8,12.5
2020-01-24,36.4,28.6,6.0
2020-01-25,31.8,25.2,7.1
2020-01-26,36.4,27.7,18.8
2020-01-27,39.8,24.8,12.6
2020-01-28,35.2,21.1,18.4
2020-01-29,27.8,20.6,19.3
2020-01-30,29.7,27.4,14.6
2020-01-31,29.3,26.4,16.9
2020-02-01,37.9,20.7,14.1
2020-02-02,35.5,28.2,16.7
2020-02-03,34.1,21.4,6.0
2020-02-04,25.8,22.8,17.0
2020-02-05,31.2,25.6,13.2
2020-02-06,34.1,23.6,15.7
2020-02-07,31.9,20.9,14.1
2020-02-08,34.5,25.6,16.1
2020-02-09,34.1,26.8,8.1
2020-02-10,32.1,25.9,12.4
2020-02-11,26.2,26.4,8.8
2020-02-12,28.8,23.2,15.2
2020-02-13,29.9,22.4,19.2
2020-02-14,31.2,25.2,6.6
2020-02-15,35.3,28.5,19.5
2020-02-16,32.4,24.4,12.6
2020-02-17,34.4,21.3,12.8
2020-02-18,32.7,24.9,5.4
2020-02-19,32.9,21.3,19.6
2020-02-20,34.1,23.9,19.9
2020-02-21,38.8,20.4,12.9
2020-02-22,30.8,21.2,14.6
2020-02-23,27.8,29.9,16.3
2020-02-24,36.6,23.2,12.9
2020-02-25,32.9,29.6,12.2
2020-02-26,28.3,25.9,5.6
2020-02-27,31.7,26.6,13.1
2020-02-28,27.4,24.7,9.3
2020-02-29,31.9,29.9,7.6
2020-03-01,35.9,28.5,5.1
2020-03-02,26.7,26.2,12.9
2020-03-03,28.5,28.5,5.6
2020-03-04,36.8,20.2,10.7
2020-03-05,38.7,26.7,13.3
2020-03-06,36.3,27.0,8.8
2020-03-07,31.9,23.6,18.6
2020-03-08,25.7,23.2,18.8
2020-03-09,32.8,26.0,9.9
2020-03-10,30.8,25.8,15.8
2020-03-11,28.5,23.7,6.7
2020-03-12,37.4,26.0,14.0
2020-03-13,37.3,27.9,10.5
2020-03-14,35.6,29.2,16.8
2020-03-15,31.7,21.3,17.2
2020-03-16,36.0,21.7,6.9
2020-03-17,25.7,29.4,17.3
2020-03-18,31.8,20.5,16.7
2020-03-19,36.3,21.2,16.6
2020-03-20,28.1,24.9,5.9
2020-03-21,37.1,28.9,16.8
2020-03-22,34.5,29.4,9.6
2020-03-23,34.2,25.9,7.3
2020-03-24,36.4,25.8,7.4
2020-03-25,37.9,24.1,12.9
2020-03-26,27.1,21.5,17.7
2020-03-27,31.7,26.1,6.5
2020-03-28,30.3,29.7,12.5
2020-03-29,38.8,25.5,5.7
2020-03-30,27.8,23.0,12.6
2020-03-31,29.7,29.3,9.8
2020-04-01,37.4,20.1,13.9
2020-04-02,31.7,27.6,9.2
2020-04-03,29.9,27.6,10.0
2020-04-04,27.3,29.6,5.8
2020-04-05,35.6,27.7,11.1
2020-04-06,34.3,27.6,6.3
2020-04-07,30.7,25.0,9.9
2020-04-08,39.0,24.5,6.5
2020-04-09,37.9,29.1,11.2
